SECTORNUMBER,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
       1.000,  198059.479,  194421.211,  200592.515,  205337.543,  200438.238,  182126.279,  197147.490,  217561.014,  218808.659,  207757.987,  213262.691,  202374.715,  208584.152,  235212.680,  218408.748,  209883.859,  232802.283,  268218.833,  264762.618,  273288.111,  275998.290,  282317.649,  298298.389,  301776.612
       2.000,  154469.530,  151434.582,  149981.384,  154779.529,  151993.598,  168167.022,  166426.436,  164989.728,  163140.107,  170135.971,  173750.166,  185685.331,  194218.296,  176817.523,  182400.852,  190821.849,  191553.704,  167655.846,  175127.679,  195955.971,  192234.969,  189409.068,  211529.413,  218049.052
       3.000,    9126.588,   11084.104,   12682.733,   10137.299,   10892.006,   11546.220,   11478.963,   12184.815,   12219.930,   11417.801,    7974.031,    7492.494,    7932.562,    7028.829,    6627.845,    5451.477,    5689.498,    6187.258,    6276.708,    6183.977,    6507.485,    5994.440,    6109.597,    5797.997
       4.000,   14397.154,   16094.948,   18072.496,   15251.435,   15669.158,   15951.473,   15900.457,   16880.316,   16831.134,   17792.716,   14574.326,   14322.571,   13906.158,   13820.887,   14132.880,   12235.918,   12623.573,   14650.842,   15510.682,   16120.881,   16321.436,   15746.141,   17107.703,   15440.860
       5.000,    9735.778,   10579.098,   10197.404,    8686.739,    9858.800,    9369.449,   10228.097,    9685.539,    9443.198,    9266.307,    8353.574,    7600.261,    9522.398,    8954.216,    9431.894,    8637.752,    9742.427,   10126.405,   10464.505,   10000.274,   10283.001,    9939.601,    9643.253,    9204.822
       6.000,   21622.802,   23179.569,   24627.807,   20701.561,   22782.571,   22589.833,   24534.162,   27500.270,   27484.947,   27769.412,   26565.485,   28065.801,   26410.139,   27070.694,   28739.000,   27701.850,   28178.878,   30538.512,   29770.574,   29154.419,   29480.920,   27764.739,   28174.369,   27849.322
       7.000,  250598.286,  245060.862,  225291.135,  220480.980,  217115.413,  210914.695,  210097.078,  200318.715,  194355.226,  195447.409,  205626.996,  214721.170,  223135.089,  238091.476,  265120.702,  289714.454,  286883.058,  312520.400,  332955.244,  313517.478,  344526.217,  377278.523,  409040.953,  423816.186
       8.000,   46931.203,   48397.132,   48647.324,   47668.437,   47643.030,   41498.176,   40622.879,   43909.086,   46874.864,   50837.032,   50130.135,   49998.819,   46493.358,   48008.375,   52319.142,   43964.777,   39907.323,   43596.767,   40539.051,   36902.669,   38145.307,   37943.234,   39715.658,   36820.537
       9.000,   38774.598,   43320.602,   40668.343,   37093.906,   37720.197,   33756.360,   33885.884,   33667.845,   34200.220,   30498.996,   29881.235,   33313.192,   36157.108,   32186.296,   32851.283,   32764.086,   34178.235,   36550.948,   36995.786,   33944.838,   34411.270,   33949.254,   33109.667,   27242.466
      10.000,   30681.131,   31911.720,   31272.227,   32718.781,   32597.445,   33027.694,   34104.250,   37062.186,   38862.870,   38155.577,   32687.475,   31773.475,   26154.660,   28590.621,   29637.505,   26858.667,   24923.825,   26417.901,   26839.804,   26384.093,   27586.665,   28161.711,   29809.042,   27221.365
      11.000,  120683.905,  106108.435,   86260.258,  107460.363,  124715.121,   95883.178,  108957.108,  115881.354,  126599.383,  136552.394,  136299.008,  146495.749,  106031.856,  124678.709,  157649.440,  174471.927,  176795.043,  188649.496,  136231.565,   80433.194,  109150.541,  136949.830,  133641.145,   89433.083
      12.000,  321482.050,  340290.906,  393932.023,  443641.244,  492498.788,  376207.097,  378022.092,  379935.991,  414195.200,  378528.605,  380982.961,  430376.909,  375222.188,  436071.560,  431338.812,  428678.631,  450687.259,  465956.154,  446490.136,  431926.365,  409895.066,  424387.712,  412359.129,  401649.865
      13.000,  119798.954,  119515.870,  139814.077,  136723.776,  130767.070,  119522.318,  105910.759,  103151.233,  101178.468,   98319.225,  116304.928,  112780.404,  107995.161,  113380.967,  102837.149,   94006.259,  103022.303,  105352.258,  109001.773,  107069.964,  100449.481,  113738.979,  113221.528,  112625.401
      14.000,   66945.083,   69401.092,   76958.931,   83433.243,   92526.198,   72855.500,   72259.114,   70666.387,   72715.585,   73042.333,   72520.258,   79464.598,   72127.389,   74964.880,   71965.788,   69537.832,   69712.688,   72234.647,   68120.050,   64229.622,   63719.466,   63353.843,   62511.012,   60772.563
      15.000, 1297483.205, 1371767.742, 1419217.943, 1476514.225, 1484493.077, 1463724.160, 1485258.147, 1531875.429, 1565786.558, 1555171.156, 1516452.456, 1410722.835, 1241829.479, 1143602.708, 1111515.566, 1165386.005, 1193846.492, 1259483.598, 1361480.674, 1428362.414, 1441407.982, 1436574.004, 1453709.965, 1491410.260
