SECTORNUMBER,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
       1.000,  202907.436,  201448.843,  207878.027,  209351.486,  205414.721,  184805.320,  201401.365,  222607.426,  223526.889,  212940.802,  217132.851,  206801.437,  212933.558,  239794.967,  222366.747,  212973.309,  236889.249,  273385.070,  270024.362,  275179.121,  278046.444,  286076.975,  301995.274,  306286.955
       2.000,  156586.946,  153113.064,  150649.245,  155989.154,  154027.864,  170046.213,  168793.154,  165378.820,  164751.348,  173560.680,  176907.040,  191561.616,  199953.482,  181494.240,  187034.475,  192759.691,  196314.930,  171397.064,  176127.985,  197174.793,  195149.565,  193796.708,  216011.501,  222623.275
       3.000,    5447.094,    6582.076,    7870.489,    7482.575,    8469.191,    9240.114,    9022.517,    8721.551,    8180.405,    7661.418,    6112.246,    5650.082,    5441.337,    4782.406,    4290.095,    3549.681,    3669.264,    4053.104,    3930.171,    3925.115,    4095.352,    3893.746,    3917.817,    3768.085
       4.000,   14349.754,   15708.266,   17277.067,   15202.156,   15801.997,   16040.069,   15987.916,   16370.555,   15975.996,   16081.634,   14631.209,   14625.571,   14030.760,   13665.323,   13687.112,   12346.719,   12499.021,   13915.862,   13403.532,   13438.668,   14018.022,   13282.207,   13850.782,   12590.164
       5.000,    9625.304,   10532.185,   10174.913,    8148.947,    9048.228,    9215.990,    9170.647,    9025.255,    9237.954,    9210.729,    8192.031,    7294.882,    7534.528,    7560.658,    8561.737,    8492.931,    8538.985,    9315.955,    9607.551,    9214.639,    9248.486,    9158.060,    8948.812,    8621.897
       6.000,   16964.011,   18132.949,   19583.597,   16430.094,   17561.498,   17691.888,   19014.004,   21236.801,   21810.859,   22487.089,   21116.772,   21787.944,   19797.865,   21650.372,   23405.712,   22513.169,   22680.847,   24762.288,   23475.545,   23384.328,   23370.135,   22475.415,   22741.100,   22646.443
       7.000,  288616.130,  287105.589,  270600.693,  266413.022,  272252.417,  265529.307,  257059.676,  235056.846,  226832.527,  236780.458,  244968.530,  260448.436,  278183.815,  296609.911,  341904.416,  362651.000,  365551.943,  396240.809,  408935.986,  385483.011,  431146.803,  472380.116,  509153.819,  533905.940
       8.000,   50852.036,   51075.324,   50191.474,   51202.212,   49237.362,   46056.417,   45653.950,   48325.483,   52203.062,   59843.921,   60779.470,   58513.402,   50887.398,   52086.384,   60402.201,   54424.305,   46871.745,   51404.628,   50931.046,   47393.561,   46834.160,   46574.206,   49225.856,   43707.736
       9.000,   40360.086,   45213.125,   42828.334,   40076.734,   41148.126,   37024.849,   37166.539,   34750.359,   36232.323,   34244.325,   34237.540,   37973.987,   40915.739,   35807.295,   36301.889,   36413.312,   38102.487,   40810.519,   41883.980,   38155.243,   38068.380,   37844.017,   37092.233,   30269.640
      10.000,   33191.109,   34525.356,   35047.338,   37362.925,   37496.182,   37843.872,   37366.887,   40584.552,   42941.797,   44954.072,   41740.134,   41037.130,   33449.417,   35608.739,   38369.277,   33829.382,   30541.879,   29879.536,   28699.113,   26412.837,   27813.578,   28721.209,   30339.983,   27805.508
      11.000,   86955.423,   85243.149,   69785.497,   81237.487,   92480.589,   68678.014,   73652.881,   90137.472,   98758.265,  109700.936,  110984.547,  117665.440,   83462.995,   94868.899,  106755.958,  125732.000,  121777.010,  135492.570,  105604.118,   55107.089,   76583.318,   91829.045,   90673.531,   62876.491
      12.000,  304968.109,  315075.281,  369267.652,  424300.683,  471741.269,  343017.843,  348266.107,  349685.962,  388170.801,  352987.845,  361131.969,  408189.952,  340542.530,  391520.671,  380857.265,  366942.578,  390160.857,  406616.991,  383058.768,  364049.215,  348857.586,  365567.948,  352244.207,  344420.933
      13.000,   88526.521,   91371.526,  111849.791,  114321.662,  114133.149,  105656.140,   87218.357,   82236.220,   81216.267,   81866.900,   95294.936,   92730.129,   88739.640,   96457.113,   88633.153,   81648.096,   86739.981,   88620.488,   94642.043,   92354.078,   84935.970,   96764.144,   94141.723,   93564.068
      14.000,   10974.634,   11085.820,   12767.002,   14843.170,   17291.932,   12870.789,   13068.564,   12671.096,   14033.988,   13629.316,   13831.796,   15574.559,   13005.794,   14244.983,   13873.276,   12894.326,   13147.502,   13778.679,   12782.313,   11580.085,   11430.537,   11884.269,   11266.624,   10830.850
      15.000, 1207878.084, 1284223.321, 1333083.377, 1389154.253, 1398907.812, 1377165.023, 1410485.757, 1454776.939, 1489536.678, 1467389.342, 1416029.402, 1328976.638, 1161479.353, 1075387.937, 1047371.460, 1074580.000, 1124350.939, 1181599.152, 1276240.949, 1348981.964, 1369716.236, 1372166.979, 1387231.098, 1425400.633
      16.000,   45426.939,   50991.090,   53436.890,   53882.832,   53420.868,   50068.514,   51792.980,   51378.804,   57820.142,   57596.572,   54890.063,   49723.970,   52718.129,   57012.232,   54580.845,   55452.900,   56107.701,   60890.131,   63225.526,   63611.666,   65392.264,   63319.821,   64884.669,   69285.859
      17.000,   87345.150,   90842.877,   93336.530,  100514.597,  101843.741,   89816.915,   88048.634,   87382.010,   97306.608,   96358.322,   92904.981,   81687.677,   94962.579,  103314.007,   98108.358,  100905.544,  104863.742,  116218.323,  131539.115,  134020.964,  136572.137,  134512.715,  138978.313,  146556.907
      18.000,   38045.155,   38709.998,   38377.899,   40122.868,   39705.114,   38172.757,   37877.526,   38687.289,   37335.496,   34193.520,   36093.996,   36738.729,   33520.169,   32342.262,   32262.012,   32981.226,   35418.177,   37065.389,   36262.712,   35702.508,   35666.102,   35374.197,   36501.727,   40044.273
      19.000,   66025.392,   67883.655,   67639.321,   70620.125,   73062.484,   72283.935,   73952.460,   74912.169,   74357.630,   70525.198,   71651.015,   70871.333,   64666.733,   65162.970,   65278.613,   63466.602,   64265.584,   65814.671,   64954.545,   64841.331,   65133.345,   64354.913,   65423.268,   70397.269
      20.000,   89698.220,   85399.102,   85263.554,   91322.724,   87380.586,   92174.196,   97049.377,   93128.385,   99177.737,  104657.342,   96368.820,  102123.205,  116767.399,  110013.760,  104692.375,  111210.429,  110042.528,  102023.263,  117202.312,  118226.942,  115517.586,  119189.681,  121970.005,  129604.829
      21.000,  166335.080,  180572.872,  181994.093,  178811.222,  177125.996,  185645.032,  178846.193,  176595.712,  184701.463,  195955.697,  199065.184,  205751.849,  213217.836,  204023.425,  200743.640,  198565.416,  199565.536,  184366.690,  196100.423,  209237.478,  210133.863,  217757.663,  217786.442,  234287.849
      22.000,    9044.351,   10173.357,   10828.645,   11554.005,   11778.513,   11959.255,   12534.500,   12580.831,   12622.047,   12550.166,   12758.197,   12177.128,   11560.362,   11131.578,   10628.036,   10712.999,   10998.639,   10942.381,   11201.568,   11111.555,   10854.672,   10604.995,   10795.763,   10660.859
      23.000,   64365.253,   65280.541,   64736.192,   65876.911,   66114.129,   63465.045,   65170.597,   67605.334,   68230.228,   65600.688,   66851.337,   63953.933,   60681.333,   62360.936,   63812.445,   64147.004,   64738.849,   65997.066,   64912.523,   63989.894,   64770.513,   63692.824,   64716.751,   69548.537
      24.000,   65304.155,   67559.755,   68515.914,   71262.722,   74116.077,   73354.747,   75794.605,   84732.602,   86283.967,   86187.176,   90641.489,   90961.741,   88437.905,   90491.148,   92681.307,   93568.490,   95875.378,   96942.729,   94107.108,   96862.301,   97055.045,   94413.735,   96254.451,  100750.647
      25.000,   91809.156,   92661.674,   90675.751,   93104.526,   90734.184,   89007.906,   93301.025,   96326.230,   98980.595,   99624.578,  105502.792,  108083.626,  103941.460,  107004.905,  111204.515,  112908.187,  114371.472,  119510.993,  120538.979,  118075.296,  119593.058,  120464.210,  123190.534,  135733.945
      26.000,   86063.791,   87736.554,   85410.101,   83047.018,   81544.062,   77618.151,   76977.026,   76765.818,   73409.302,   70795.084,   68981.584,   70297.847,   63709.643,   60070.467,   58779.821,   56721.368,   56254.553,   55314.000,   52980.843,   50060.718,   48492.957,   46079.488,   46809.861,   48735.249
      27.000,  105236.924,  103894.963,  104524.247,  102684.124,   92474.705,   92048.609,   88365.815,   91980.399,   93110.161,   84147.518,   74535.659,   63352.667,   51307.462,   53971.388,   52841.858,   51705.500,   53561.307,   54243.823,   52216.816,   51081.525,   48421.212,   47304.522,   46907.444,   44246.891
      28.000,   94035.207,   84774.617,   81295.679,   80058.427,   63122.277,   54993.248,   48651.614,   42676.561,   43849.029,   42289.727,   31873.792,   28192.953,   25552.056,   24244.902,   25209.264,   19163.500,   19011.895,   18201.840,   17818.534,   17886.945,   17823.011,   18885.562,   19086.847,   20332.121
      29.000,   20222.896,   21950.514,   22115.223,   22155.528,   20842.056,   21334.531,   21239.186,   28368.698,   30081.060,   30134.191,   27740.131,   25450.703,   21383.098,   21430.434,   22015.282,   23464.305,   23510.053,   23505.300,   25896.277,   26691.557,   27032.601,   27090.228,   26709.275,   24077.028
      30.000,   21579.629,   22693.112,   22812.097,   23429.934,   22631.278,   24006.291,   22881.396,   23020.317,   24790.581,   25596.684,   23927.252,   20913.586,   17582.616,   17397.518,   17822.112,   17237.297,   18086.213,   19310.053,   20152.096,   20835.362,   20827.839,   19895.320,   20980.588,   17713.644
