SECTORNUMBER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206
       1.000,   22134.988,   11676.712,       0.000,       0.000,       0.000,     345.014,       0.000,      12.856,      35.265,      15.410,      31.561,       0.000,       0.000,       0.000,    2287.266,   12605.762,   54091.901,    2205.830,   10189.070,     220.695,       0.560,       0.000,    3127.478,   17777.479,    5831.572,    1450.894,     998.006,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,   10888.018,       0.000,       0.000,      47.133,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     634.559,    1178.425,     892.187,    1061.367,     216.232,     530.491,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      88.364,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       1.003,       0.000,       0.000,       0.000,       9.388,       0.000,       0.000,       0.000,       0.000,       3.414,      14.449,      10.639,       0.000,       1.216,      20.872,     104.880,      50.069,       0.000,       3.364,       2.163,       0.000,       0.000,       2.322,       0.000,       0.000,    1514.924,       1.457,       0.000,      22.227,      70.734,       0.579,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      15.583,      36.869,      22.460,      23.875,     512.682,       0.545,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      46.287,       0.000,       9.905,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       1.204,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    4286.656,       0.650,       0.000,       0.000,       0.000,       0.000,   97397.106
       2.000,     580.772,   30211.584,       6.542,       0.000,       0.000,     409.111,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     102.143,     180.169,   33526.908,   92080.155,     717.682,     579.273,    1553.744,       0.000,       0.000,     324.579,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       7.918,     437.064,       0.000,      84.773,      25.273,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      30.711,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     566.714,       0.000,       0.000,      23.203,       0.000,       0.000,       0.000,       0.000,       0.000,       9.574,       0.000,       0.000,       0.000,       2.725,      39.859,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      38.033,      47.802,     297.872,      20.423,    1032.903,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.853,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       4.396,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     538.588,       0.000,       0.000,       0.000,       0.000,       0.000,   11646.332
       3.000,       0.000,       0.000,     109.491,    2762.703,       0.000,       8.127,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      91.747,       0.000,       0.000,       0.000,       0.000,       0.000,     288.804,      89.560,       0.000,       0.000,      24.546,    2957.559,     252.285,     480.113,       0.000,       0.000,      37.095,      15.526,     244.054,       5.102,     116.329,       0.000,      40.857,       0.000,       2.167,       0.000,    1748.847,       0.000,       0.000,       0.000,       1.030,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      34.908,       0.000,       0.000,       0.000,     181.786,       0.000,       0.000,       0.000,       0.000,       2.207,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      19.966,       0.000,       0.000,       0.643,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       1.041,       0.000,       0.000,       0.688,       3.346,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     157.322,       0.000,       0.000,       0.000,       0.000,       0.000,   -3401.141
       4.000,       0.000,       0.000,       0.000,     809.067,       0.000,       0.000,       0.000,      90.652,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    5114.145,    2400.914,     696.703,    4604.090,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      64.282,       0.000,       0.000,       0.000,       0.000,       0.000,    1730.829
       5.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     308.842,       0.000,       0.000,     661.810,       0.000,     702.215,    4728.096,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      20.251,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     557.878,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       3.571,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      15.384,       0.000,       0.000,       0.383,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      41.927,      12.526,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      12.787,      18.147,     110.847,     334.866,    2767.708,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      57.858,       0.000,      73.034,       0.000,       0.000,       0.000,      11.044,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     462.219,       0.000,       0.000,       0.000,       0.000,       0.000,    -436.886
       6.000,   20636.599,    2421.096,    2678.094,     325.807,      17.801,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     152.970,       0.000,       0.000,       8.821,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      70.381,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    3062.767,       0.000,       0.000,       0.000,       0.000,       0.000,     396.237
       7.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,   26658.849,       0.048,       0.189,       1.625,       0.407,    8524.980,   14931.056,      12.327,       0.000,       0.055,       0.023,       0.107,       0.000,       0.057,       0.026,       0.012,       0.047,       0.048,       0.025,       0.044,       0.000,       0.000,       0.164,       0.146,       0.104,       0.358,       0.079,       0.444,  441917.349,    8330.998,      49.979,       9.718,       9.265,       2.479,       6.149,      82.369,       0.275,       0.150,       0.000,       0.181,       0.064,       0.181,       0.712,       0.000,      42.322,       0.000,       0.741,       0.033,       0.000,       0.083,       0.082,       0.000,       0.000,       0.083,       0.056,       0.079,       0.024,       0.068,       0.066,       0.073,       0.066,       0.067,       0.065,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.401,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       1.855,       0.492,       0.436,       0.490,       0.924,       0.000,       0.000,       0.000,       0.000,       0.000,      16.215,       0.000,       0.000,       0.459,       0.077,       0.417,       0.457,       0.041,       0.002,       0.178,       0.138,       0.125,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.039,       0.688,       0.041,       0.486,       0.019,       0.072,       0.038,       0.005,       2.576,       0.045,       0.072,       0.055,       0.106,       0.018,       0.053,       0.052,       0.054,       0.889,       0.046,       0.108,       0.287,       0.229,       0.274,       0.072,       0.123,       0.023,       0.047,       0.161,       0.888,       0.454,       0.226,       0.133,       0.079,       0.032,       0.080,       0.089,       0.142,       0.113,       0.051,       0.222,       0.627,       0.898,       3.540,       0.411,       0.031,       0.102,       0.022,       0.076,       0.001,       0.575,       0.059,       0.000,       0.017,       0.510,       0.000,       0.000,     943.441,      63.196,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,   10760.522,       0.000,       0.000,       0.000,    5237.769,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000, -184673.447
       8.000,       0.000,     462.193,       0.000,       0.735,       0.000,       0.000,      89.931,    4239.467,      70.775,      64.326,      23.117,   11077.353,       0.000,       0.000,       0.000,      45.035,     260.164,     117.650,     108.741,     135.409,     136.994,      30.353,      77.646,      90.317,     112.496,      23.911,      60.949,       0.000,       2.723,       2.669,       3.636,     920.748,     103.704,       0.000,    1952.850,     204.010,      28.897,       5.679,       5.284,       1.497,       3.624,       4.006,      74.275,      32.370,      94.298,     379.747,     525.540,     467.291,    2485.787,      22.387,     118.066,      58.840,      69.801,       0.723,       0.278,       1.191,       0.280,       0.281,       0.282,       0.899,       1.027,       0.726,       1.366,       1.033,       0.647,       0.537,       0.497,       0.638,       1.596,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.882,       0.018,       0.711,       1.851,       5.498,       1.028,      10.476,       4.890,       1.164,       3.377,       0.696,       2.686,       2.206,       0.504,       0.000,       0.000,       8.517,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       3.332,       0.285,       0.000,       0.000,       0.422,       0.035,       0.382,       0.435,       0.394,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       1.062,       0.000,       0.000,       0.000,       0.000,       0.000,       0.345,       8.202,       0.000,       0.000,       0.000,      49.546,       0.359,       0.355,      32.516,       0.285,       0.408,       0.021,       0.278,       0.276,       0.000,       0.273,       0.267,       1.022,       6.118,       2.173,       0.329,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      72.695,       4.882,       2.552,       1.565,       0.734,       0.000,       0.313,       0.000,       0.000,       0.439,       0.246,       1.000,       3.131,       6.762,     287.514,       1.215,       0.234,       0.390,       0.236,       0.234,       0.003,       1.873,       0.225,       0.000,       0.232,       2.630,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     740.284,       0.000,    4351.585,       0.000,       0.000,       0.000,    2118.168,       0.000,       0.000,       0.000,       0.000,    1125.120,       0.000,       0.000,       0.000,       0.000,       0.000,    6853.874
       9.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    3454.956,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      42.305,    3661.572,       0.000,     354.214,       0.000,     126.947,       0.000,      62.637,       0.000,       0.000,      57.802,      17.117,       8.406,     348.477,    8263.518,     202.668,     851.689,    6717.216,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     413.705,       0.000,     112.694,      67.922,      99.304,       0.000,       0.000,       0.000,      56.946,       0.000,       0.000,       0.019,       3.291,       1.257,       0.000,       0.000,       0.000,       0.000,       0.000,      86.431,      10.294,       0.000,       0.000,      74.765,      77.577,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      35.005,     238.082,      10.004,       0.000,       0.000,       0.000,       3.678,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      40.909,       0.000,      20.041,      18.508,      30.645,     128.444,       0.000,      35.204,      42.596,     345.693,       0.000,       0.000,       0.000,       0.000,       2.746,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     331.128,       0.000,       0.000,       0.000,     308.246,       0.000,       0.000,       4.135,       0.000,       0.000,       0.000,       0.000,       0.000,     224.217,     272.430,       0.000,      62.060,       0.000,       0.000,     371.383,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      16.591,      38.964,       0.000,       0.000,       0.000,     280.335,       8.356,      11.614,       1.011,       0.000,       3.043,       0.000,     640.698,      64.029,      34.403,       8.521,      97.157,      38.738,       0.000,     484.964,       0.081,       0.000,      21.481,       0.000,     115.034,      57.400,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.594,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,    7373.890
      10.000,    1592.039,     109.400,       0.000,       0.000,       0.000,       0.279,       0.000,     483.404,       9.121,     741.914,      42.523,     241.019,       0.708,     145.356,   13318.896,     117.802,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     277.019,       0.000,       0.000,     843.641,     517.793,       0.000,     975.693,       0.000,     192.858,       8.165,      35.831,       0.000,       0.000,     299.823,     349.761,    3499.380,    1543.795,      31.442,       0.000,       0.000,       0.000,     109.706,       0.000,       0.442,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       4.820,       0.000,       0.215,       0.000,       0.804,       4.029,       0.000,       0.000,       0.000,       0.960,       0.000,       0.216,       0.000,       0.000,       0.000,       4.675,       0.000,       0.000,       0.000,       0.000,       0.000,      82.914,       0.000,       0.000,       0.000,      14.301,       0.000,       0.000,       0.000,       0.749,       0.000,       0.000,       0.000,       0.000,       0.001,       0.000,     118.519,       0.477,       4.928,       1.032,       0.000,       1.937,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.269,       7.045,      29.835,       0.216,       0.021,       0.000,       0.000,       0.000,       0.000,       0.000,       9.489,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     152.148,       0.000,       0.000,       0.000,      96.986,       0.000,       0.326,       4.130,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      13.995,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.215,       0.000,       0.000,       0.000,       0.000,       0.000,       0.414,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      58.403,       0.000,      62.661,       0.000,       0.000,       0.000,      30.501,       0.000,       0.000,       0.000,       0.000,    1422.866,       5.586,       0.000,       0.000,       0.000,       0.000,    -783.687
